Syntax version=4
Sun Feb 01 15:04:32 2026
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		MotorL.curOmega_Rad	MotorR.curOmega_Rad
D:	time(ms)	(0x20000114,6)	(0x20000094,6)
D:	596.57	0.000000	0.000000
D:	598.32	0.000000	0.000000
D:	600.16	0.000000	0.000000
D:	601.88	0.000000	0.000000
D:	603.62	0.000000	0.000000
D:	605.35	0.000000	0.000000
D:	607.17	0.000000	0.000000
D:	609.14	0.000000	0.000000
D:	610.92	0.000000	0.000000
D:	612.62	0.000000	0.000000
D:	614.34	0.000000	0.000000
D:	616.37	0.000000	0.000000
D:	618.15	0.000000	0.000000
D:	619.90	0.000000	0.000000
D:	621.64	0.000000	0.000000
D:	623.44	0.000000	0.000000
D:	625.26	0.000000	0.000000
D:	627.06	0.000000	0.000000
D:	628.80	0.000000	0.000000
D:	630.75	0.000000	0.000000
D:	632.69	0.000000	0.000000
D:	634.50	0.000000	0.000000
D:	636.18	1.220629	0.000000
D:	638.00	1.220629	1.220629
D:	639.68	1.220629	1.220629
D:	641.53	1.220629	1.220629
D:	643.44	1.220629	1.220629
D:	645.25	3.906011	1.220629
D:	646.99	3.906011	3.906011
D:	648.94	3.906011	3.906011
D:	650.78	3.906011	3.906011
D:	652.52	3.906011	3.906011
D:	654.26	3.906011	3.906011
D:	656.07	6.151968	3.906011
D:	657.88	6.151968	6.396093
D:	659.63	6.151968	6.396093
D:	661.43	6.151968	6.396093
D:	663.26	6.151968	6.396093
D:	665.08	6.151968	6.396093
D:	666.92	8.065912	7.870613
D:	668.92	8.065912	7.870613
D:	670.78	8.065912	7.870613
D:	672.65	8.065912	7.870613
D:	674.65	8.065912	7.870613
D:	676.47	9.425205	8.897894
D:	678.25	9.425205	8.897894
D:	680.03	9.425205	8.897894
D:	681.91	9.425205	8.897894
D:	683.77	9.425205	8.897894
D:	685.51	10.185315	8.897894
D:	687.30	10.185315	9.835726
D:	689.04	10.185315	9.835726
D:	690.77	10.185315	9.835726
D:	692.53	10.185315	9.835726
D:	694.26	10.185315	9.835726
D:	696.01	10.825588	9.835726
D:	697.78	10.825588	10.267419
D:	699.47	10.825588	10.267419
D:	701.21	10.825588	10.267419
D:	703.07	10.825588	10.267419
D:	704.88	10.825588	10.267419
D:	706.55	10.953643	10.597883
D:	708.33	10.953643	10.597883
D:	710.08	10.953643	10.597883
D:	711.88	10.953643	10.597883
D:	713.59	10.953643	10.597883
D:	715.43	11.467505	10.597883
D:	717.05	11.467505	10.908102
D:	718.80	11.467505	10.908102
D:	720.51	11.467505	10.908102
D:	722.30	11.467505	10.908102
D:	724.08	11.467505	10.908102
D:	725.82	11.570278	10.908102
D:	727.55	11.570278	10.970146
D:	729.38	11.570278	10.970146
D:	731.25	11.570278	10.970146
D:	733.15	11.570278	10.970146
D:	735.03	11.570278	10.970146
D:	736.80	12.079084	11.226680
D:	738.54	12.079084	11.226680
D:	740.31	12.079084	11.226680
D:	742.17	12.079084	11.226680
D:	744.04	12.079084	11.226680
D:	745.89	11.692595	11.226680
D:	747.66	11.692595	11.033861
D:	749.48	11.692595	11.033861
D:	751.31	11.692595	11.033861
D:	753.07	11.692595	11.033861
D:	755.04	11.692595	11.033861
D:	757.03	12.103548	11.483549
D:	758.81	12.103548	11.483549
D:	760.54	12.103548	11.483549
D:	762.33	12.103548	11.483549
D:	764.19	12.103548	11.483549
D:	765.98	12.185739	11.483549
D:	767.79	12.185739	11.085236
D:	769.56	12.185739	11.085236
D:	771.29	12.185739	11.085236
D:	773.08	12.185739	11.085236
D:	774.83	12.185739	11.085236
D:	776.57	12.202177	11.493824
D:	778.32	12.202177	11.493824
D:	780.19	12.202177	11.493824
