Syntax version=4
Sun Feb 01 15:04:19 2026
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		MotorL.curOmega_Rad	MotorR.curOmega_Rad
D:	665.96	12.206286	11.300594
D:	667.64	12.206286	11.300594
D:	669.34	12.206286	11.300594
D:	671.09	12.206286	11.536896
D:	672.79	12.206286	11.536896
D:	674.80	12.206286	11.536896
D:	676.54	12.206286	11.536896
D:	678.27	12.206286	11.536896
D:	680.14	12.206286	11.340030
D:	681.87	12.206286	11.340030
D:	683.60	12.206286	11.340030
D:	685.30	12.206286	11.340030
D:	687.08	12.206286	11.340030
D:	688.78	12.206286	11.340030
D:	690.59	12.206286	11.300657
D:	692.28	12.206286	11.300657
D:	694.22	12.206286	11.300657
D:	695.81	12.206286	11.300657
D:	697.36	12.206286	11.300657
D:	698.92	12.206286	11.300657
D:	700.47	12.206286	11.536909
D:	702.01	12.206286	11.536909
D:	703.53	12.206286	11.536909
D:	705.09	12.206286	11.536909
D:	706.88	12.206286	11.536909
D:	708.45	12.206286	11.536909
D:	710.03	12.206286	11.340033
D:	711.64	12.206286	11.340033
D:	713.19	12.206286	11.340033
D:	714.77	12.206286	11.340033
D:	716.30	12.206286	11.340033
D:	717.83	12.206286	11.340033
D:	719.36	12.206286	11.340033
D:	720.92	12.206286	11.300657
D:	722.46	12.206286	11.300657
D:	724.04	12.206286	11.300657
D:	725.61	12.206286	11.300657
D:	727.19	12.206286	11.300657
D:	728.73	12.206286	11.300657
D:	730.27	12.206286	11.536909
D:	731.83	12.206286	11.536909
D:	733.35	12.206286	11.536909
D:	734.94	12.206286	11.536909
D:	736.49	12.206286	11.536909
D:	738.01	12.206286	11.536909
D:	739.54	12.206286	11.536909
D:	741.22	12.206286	11.340033
D:	742.81	12.206286	11.340033
D:	744.35	12.206286	11.340033
D:	745.91	12.206286	11.340033
D:	747.66	12.206286	11.340033
D:	749.37	12.206286	11.340033
D:	751.15	12.206286	11.300657
D:	752.86	12.206286	11.300657
D:	754.61	12.206286	11.300657
D:	756.30	12.206286	11.300657
D:	758.22	12.206286	11.300657
D:	760.07	12.206286	11.292782
D:	761.92	12.206286	11.292782
D:	763.64	12.206286	11.292782
D:	765.35	12.206286	11.292782
D:	767.10	12.206286	11.292782
D:	768.80	12.206286	11.292782
D:	770.58	12.206286	11.291207
D:	772.41	12.206286	11.291207
D:	774.21	12.206286	11.291207
D:	776.00	12.206286	11.291207
D:	777.75	12.206286	11.291207
D:	779.46	12.206286	11.291207
D:	781.16	12.206286	11.535019
D:	782.86	12.206286	11.535019
D:	784.54	12.206286	11.535019
D:	786.24	12.206286	11.535019
D:	787.95	12.206286	11.535019
D:	789.71	12.206286	11.535019
D:	791.52	12.206286	11.339655
D:	793.23	12.206286	11.339655
D:	794.96	12.206286	11.339655
D:	796.64	12.206286	11.339655
D:	798.38	12.206286	11.339655
D:	800.16	12.450412	11.300582
D:	801.86	12.450412	11.300582
D:	803.59	12.450412	11.300582
D:	805.29	12.450412	11.300582
D:	807.08	12.450412	11.300582
D:	808.77	12.450412	11.300582
D:	810.48	12.255112	11.536894
